category,food_id,food_name,calcium,calories,carbohydrate,cholesterol,fat,fiber,iron,measurement_description,metric_serving_amount,metric_serving_unit,monounsaturated_fat,number_of_units,polyunsaturated_fat,potassium,protein,saturated_fat,serving_description,serving_id,serving_url,sodium,sugar,vitamin_a,vitamin_c,,,,,,
vegetables,6722,Immature Lima Beans with Mushroom Sauce (from Frozen),31,91,13.1,1,2.63,3,1.38,g,100,g,0.488,100,0.647,196,4.09,0.685,100 g,55402,https://www.fatsecret.com/calories-nutrition/generic/beans-lima-immature-cooked-from-frozen-with-mushroom-sauce?portionid=55402&portionamount=100.000,288,1.74,13,6.7,,,,,,
vegetables,5875,Cooked Collards (Fat Not Added in Cooking),139,26,4.88,0,0.36,2.8,1.15,g,100,g,0.026,100,0.172,115,2.1,0.047,100 g,54555,https://www.fatsecret.com/calories-nutrition/generic/collards-cooked-fat-not-added-in-cooking?portionid=54555&portionamount=100.000,283,0.4,403,18.1,,,,,,
vegetables,6724,"""Cooked Green Peas (from Fresh"," Fat Not Added in Cooking)""",27,83,15.55,0,0.22,5.5,1.53,g,100,g,0.019,100,0.101,269,5.33,0.039,100 g,55404,https://www.fatsecret.com/calories-nutrition/generic/peas-green-cooked-from-fresh-fat-not-added-in-cooking?portionid=55404&portionamount=100.000,234,5.9,40,14.1,,,,,
vegetables,5876,"""Cooked Collards (from Fresh"," Fat Not Added in Cooking)""",139,26,4.88,0,0.36,2.8,1.15,g,100,g,0.026,100,0.172,115,2.1,0.047,100 g,54556,https://www.fatsecret.com/calories-nutrition/generic/collards-cooked-from-fresh-fat-not-added-in-cooking?portionid=54556&portionamount=100.000,283,0.4,403,18.1,,,,,
vegetables,6723,Cooked Green Peas (Canned),20,86,12.29,0,2.46,4,0.93,g,100,g,1.031,100,0.78,169,4.31,0.458,100 g,55403,https://www.fatsecret.com/calories-nutrition/generic/peas-green-cooked-from-canned?portionid=55403&portionamount=100.000,263,4.05,48,8.9,,,,,,
vegetables,5877,"""Cooked Collards (from Frozen"," Fat Not Added in Cooking)""",209,36,7.07,0,0.41,2.8,1.12,g,100,g,0.02,100,0.209,250,2.95,0.06,100 g,54557,https://www.fatsecret.com/calories-nutrition/generic/collards-cooked-from-frozen-fat-not-added-in-cooking?portionid=54557&portionamount=100.000,267,0.57,572,26.3,,,,,
vegetables,5878,"""Cooked Collards (from Canned"," Fat Not Added in Cooking)""",139,26,4.88,0,0.36,2.8,1.15,g,100,g,0.026,100,0.172,115,2.1,0.047,100 g,54558,https://www.fatsecret.com/calories-nutrition/generic/collards-cooked-from-canned-fat-not-added-in-cooking?portionid=54558&portionamount=100.000,283,0.4,403,18.1,,,,,
vegetables,5879,Cooked Collards (Fat Added in Cooking),136,42,4.81,0,2.24,2.7,1.13,g,100,g,0.918,100,0.722,113,2.05,0.4,100 g,54559,https://www.fatsecret.com/calories-nutrition/generic/collards-cooked-fat-added-in-cooking?portionid=54559&portionamount=100.000,269,0.39,413,17.7,,,,,,
vegetables,38396,"""Split Peas (Mature Seeds", with Salt, Cooked," Boiled)""",14,118,21.1,0,0.39,8.3,1.29,g,100,g,0.081,100,0.165,362,8.34,0.054,100 g,61127,https://www.fatsecret.com/calories-nutrition/usda/split-peas-(mature-seeds-with-salt-cooked-boiled)?portionid=61127&portionamount=100.000,238,2.9,0,0.4,,,
vegetables,6740,"""Cooked Vegetable and Pasta Combinations with Cream or Cheese Sauce (Broccoli", Pasta, Carrots, Corn, Zucchini, Peppers," Cauliflower and Peas)""",51,107,12.9,3,5.1,2.3,0.77,g,100,g,2.101,100,1.361,179,3.53,1.279,100 g,55420,https://www.fatsecret.com/calories-nutrition/generic/vegetable-and-pasta-combinations-with-cream-or-cheese-sauce-(broccoli-pasta-carrots-corn-zucchini-peppers-cauliflower-peas-etc)-cooked?portionid=55420&portionamount=100.000,393,3.06,163,16.9
vegetables,5894,Cooked Dandelion Greens,133,61,6.16,0,3.92,2.8,1.72,g,100,g,1.591,100,1.23,221,1.9,0.767,100 g,54574,https://www.fatsecret.com/calories-nutrition/generic/dandelion-greens-cooked?portionid=54574&portionamount=100.000,406,2.59,505,17.1,,,,,,
vegetables,6741,Stuffed Artichokes,103,158,21.68,3,5.75,3.8,1.79,g,100,g,3.106,100,0.898,248,5.91,1.345,100 g,55421,https://www.fatsecret.com/calories-nutrition/generic/artichokes-stuffed?portionid=55421&portionamount=100.000,413,2.21,14,6.6,,,,,,
vegetables,5895,Cooked Dandelion Greens (Fat Not Added in Cooking),139,33,6.34,0,0.6,2.9,1.79,g,100,g,0.012,100,0.26,230,1.98,0.145,100 g,54575,https://www.fatsecret.com/calories-nutrition/generic/dandelion-greens-cooked-fat-not-added-in-cooking?portionid=54575&portionamount=100.000,395,2.7,492,17.8,,,,,,
vegetables,6733,"""Cooked Summer Squash (from Canned"," Fat Not Added in Cooking)""",12,13,2.96,0,0.07,1.4,0.71,g,100,g,0.005,100,0.031,96,0.61,0.015,100 g,55413,https://www.fatsecret.com/calories-nutrition/generic/squash-summer-cooked-from-canned-fat-not-added-in-cooking?portionid=55413&portionamount=100.000,5,1.19,5,2.6,,,,,
vegetables,6974,Fried Batter Dipped Mushrooms,24,219,13.91,6,17.39,1.3,0.95,g,100,g,5.854,100,8.104,208,3.3,2.247,100 g,55654,https://www.fatsecret.com/calories-nutrition/generic/mushrooms-batter-dipped-fried?portionid=55654&portionamount=100.000,159,3.89,20,1,,,,,,
vegetables,6976,Baked Breaded or Battered Yellow or Green Summer Squash,30,71,12.83,5,1.5,1.4,0.84,g,100,g,0.509,100,0.341,226,2.3,0.241,100 g,55656,https://www.fatsecret.com/calories-nutrition/generic/squashsummer-yellow-or-green-breaded-or-battered-baked?portionid=55656&portionamount=100.000,141,3.84,24,9.5,,,,,,
vegetables,6978,Pickled Celery,34,14,2.69,0,0.15,1.4,0.19,g,100,g,0.028,100,0.071,212,0.61,0.038,100 g,55658,https://www.fatsecret.com/calories-nutrition/generic/celery-pickled?portionid=55658&portionamount=100.000,256,1.64,17,2,,,,,,
vegetables,36880,"""Spinach (No Salt Added", Solids and Liquids," Canned)""",83,19,2.92,0,0.37,2.2,1.58,g,100,g,0.01,100,0.155,230,2.11,0.06,100 g,59611,https://www.fatsecret.com/calories-nutrition/usda/spinach-(no-salt-added-solids-and-liquids-canned)?portionid=59611&portionamount=100.000,75,,322,13.5,,,,
